community,area_num,adult_asthma_count,adult_asthma_count_moe,adult_asthma_rate,adult_asthma_rate_moe
ROGERS PARK,1.0,4900.0,2904.498116408,11.687814795,6.439035275897
NORWOOD PARK,10.0,3000.0,1625.9889338147,10.697054662,5.54126845783
JEFFERSON PARK,11.0,600.0,325.2073188273,2.4396925606,1.429608704748
FOREST GLEN,12.0,1100.0,740.95782808635,8.6175984924,5.437838144522001
ALBANY PARK,14.0,3500.0,2073.3267721425,8.0608019141,4.6966871541695
PORTAGE PARK,15.0,4100.0,3281.585009738,7.4030969465,5.6888906142215
IRVING PARK,16.0,2800.0,2284.7833094800003,7.8393584543,6.068874899842999
DUNNING,17.0,4500.0,3128.2313400694998,13.407961162,8.651347995556
MONTCLARE,18.0,1400.0,786.5122182379,8.2530643898,4.989078619616
WEST RIDGE,2.0,1800.0,1129.2002761347,3.3546570718,2.1105571746
HERMOSA,20.0,1600.0,1008.6024803669501,8.2881674372,5.271363745774001
LOGAN SQUARE,22.0,7000.0,2902.9200590250002,13.492322547,5.2709468667485
WEST TOWN,24.0,8200.0,3589.4145517895,11.233697845,4.6204884149795
AUSTIN,25.0,6900.0,4610.041462649,9.9076087439,6.314211432606
WEST GARFIELD PARK,26.0,1200.0,741.7102802851,8.9718312214,6.0980300114475
EAST GARFIELD PARK,27.0,3200.0,1792.320989627,22.814638708,11.463471668299
NEAR WEST SIDE,28.0,4500.0,4006.8098753445,9.9735072806,8.1285161760775
NORTH LAWNDALE,29.0,7600.0,5099.982947325,30.841455351,15.649585748944
UPTOWN,3.0,3800.0,1972.1766647275,7.6472432668,3.8767543262
LOOP,32.0,1300.0,927.14250734315,3.406311271,2.4621008571635
DOUGLAS,35.0,1400.0,1008.6154634472,8.1134204019,5.6932477905345
OAKLAND,36.0,500.0,343.09938348455,8.5566837576,5.6296652534955
FULLER PARK,37.0,2400.0,1730.6948570099999,25.391636288,15.4798813579865
GRAND BOULEVARD,38.0,2000.0,1073.9297256593502,15.791649789,7.999415360093501
KENWOOD,39.0,900.0,651.47556245765,6.4463448034,4.9411279285025
LINCOLN SQUARE,4.0,3300.0,2122.175653325,10.259111699,6.261834607602
WASHINGTON PARK,40.0,800.0,456.4331109702,11.162848712,6.463541459417001
HYDE PARK,41.0,900.0,706.0920092471,4.534114,3.5819404661600003
WOODLAWN,42.0,2600.0,1942.7547339584999,13.609043841,9.5352403777855
SOUTH SHORE,43.0,2500.0,1849.4395305854998,8.5244183255,6.132584683225
CHATHAM,44.0,2800.0,1702.757592368,11.190145695,6.688725986796001
AVALON PARK,45.0,600.0,413.55246527630004,4.0501871345,3.0714386843035
SOUTH CHICAGO,46.0,1300.0,616.11009153225,11.895030801,6.2617142567699995
BURNSIDE,47.0,600.0,543.61517367465,20.462220611,16.73686771057
HEGEWISCH,55.0,500.0,291.19250747615,7.6898745786,4.882698908164
BRIGHTON PARK,58.0,1700.0,1347.7280551010501,6.6905949597,5.3466190565725
MCKINLEY PARK,59.0,1200.0,899.4791525888,7.459190121,5.6854983389785
LAKE VIEW,6.0,10600.0,3439.814131887,11.640098815,3.487307139421
BRIDGEPORT,60.0,1000.0,850.01375907945,5.2980624956,4.3362884068315
WEST ELSDON,62.0,500.0,358.71922421650004,2.3243815119,1.787725807805
CLEARING,64.0,900.0,711.923699767,5.7567509936,4.407111848282501
WEST LAWN,65.0,800.0,618.523434102,3.7268395423,3.0177910997604998
CHICAGO LAWN,66.0,3200.0,1854.25706788,10.480467822,6.131654604502001
WEST ENGLEWOOD,67.0,2400.0,2160.8287883175,13.005703019,10.618101201385999
ENGLEWOOD,68.0,2900.0,1910.973363075,16.684744448,10.3767639589005
GREATER GRAND CROSSING,69.0,2600.0,1857.5047352855001,10.92091414,7.430460983239
LINCOLN PARK,7.0,2400.0,1348.05311164125,4.3393913291,2.4450998440155
ASHBURN,70.0,1700.0,1052.3780174113501,6.1512348899,4.053651107065
AUBURN GRESHAM,71.0,2200.0,1602.79013386695,7.9486208446,5.7765375252865
WASHINGTON HEIGHTS,73.0,4200.0,2436.391794536,17.796273941,9.5222083758935
MOUNT GREENWOOD,74.0,1100.0,805.72512419595,6.0091131602,4.534196097753
MORGAN PARK,75.0,1400.0,1048.41593667195,9.3350911972,6.690386242854999
EDGEWATER,77.0,5500.0,2872.535024842,10.378786912,5.07409259007
NEAR NORTH SIDE,8.0,3700.0,1982.8588278764998,4.8434161598,2.5667903016699998
