zip_code,schizophrenia_hosp_count,schizophrenia_hosp_count_moe,schizophrenia_hosp_rate,schizophrenia_hosp_rate_moe
60601,17,,16.7,6.966071428652
60605,75,,30.8,6.042857142931
60606,23,,80.8,30.549999999295
60607,222,,106.6,12.631250000047
60608,237,,28.5,3.1473214285345
60609,262,,42.7,4.406250000047001
60610,142,,33.1,4.7839285714185
60611,42,,14.4,3.8607142856975
60612,441,,132.9,10.6169642857915
60613,157,,35.7,4.8678571429075
60614,114,,19.4,3.1473214285345
60615,152,,36.6,5.035714285721
60616,244,,47.6,5.0776785714655
60617,302,,37.9,3.6508928571395
60618,151,,16.1,2.2241071428135
60619,335,,54.6,5.0776785714655
60620,490,,69.9,5.329464285768
60621,441,,130.7,10.491071428558
60622,310,,74.7,7.4696428570924995
60623,526,,62.2,4.5741071428605
60624,350,,92.7,8.2669642857445
60625,226,,31.1,3.5250000000705
60626,575,,113.5,8.015178571442
60628,433,,62.4,5.035714285721
60629,240,,21.9,2.3919642857915
60630,102,,18.5,3.06339285721
60631,26,,9.1,2.9794642857210003
60632,124,,14.0,2.1401785714890003
60633,42,,29.8,7.637500000070499
60634,150,,20.1,2.6857142856740004
60636,391,,99.6,8.434821428558001
60637,326,,68.1,6.378571428558
60638,54,,9.9,2.2241071428135
60639,277,,31.6,3.2312500000235
60640,842,,114.6,6.6723214286050005
60641,154,,20.6,2.769642857163
60642,28,,17.6,5.7910714286285
60643,183,,38.4,4.825892857163
60644,811,,173.6,10.197321428511
60645,200,,44.0,5.2035714285345005
60646,22,,6.4,2.350000000047
60647,258,,33.5,3.6508928571395
60649,424,,89.0,7.21785714279
60651,440,,68.8,5.4973214285815
60652,85,,20.9,3.7348214286285
60653,314,,103.4,9.651785714326
60654,30,,18.7,6.042857142931
60655,27,,9.5,3.06339285721
60656,27,,9.5,3.0214285714655
60657,104,,18.3,3.189285714279
60659,82,,20.6,3.7767857142085
60660,275,,59.9,6.0008928571865
60707,59,,12.8,2.7276785714185
60827,122,,44.8,6.798214285674001
